Words,W2,W3,W4,W5,W6,W7,W8,W9,W10,W12,W14,W15,W16,W18,W20,W22,W23,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W46,W48,W49,W50,W51,W52,W54,W55,W56,W58,W60,W61,W62,W63,W64,W65,W66,W68,W69,W70,W72,W73,W74,W75,W76,W77,W78,W79,W81,W83,W84,W86,W87,W89,W90,W91,W92,W93,W94,W95,W97,W98,W99,W100,W101,W103,W105,W106,W107,W108,W109,W110,W111,W112,W113,W114,W115,W117,W119,W123,W125,W24,W59,,
G22A_North_Pare,ɲama,mkono,ivu,ikonde,kitanda,matumbo,?,ndeghe,-uma,thakame,ivindi,ivee,-aka,mwana,ijumbi,-dha,-tara,-fwa,nguro,-ɲwa,ithikio,la,igi,ndhovu,idhitho,vuʃo,-gwa,mafuta,ivo,?,moto,lukwi(ngwi),nguluma,-sano,-pararika,-ne,-inga,mbuji,mthau,lujwi,mtwi,-thikia,mo,luhembe,ɲumba,ndha,itumbo,-koma,ikunguro,?,-maɲa,ijani,kughu,iini,nda,kiume,mweji,momo,idhina,mkuju,singo,?,fua,-mwe(one,mndu,mvua,barabara,kikolo,muɲu,msangalale,-vona,-tuma,soni,-imba,mkota homme,harega,-ʃinjia,muʃi,ɲoka,ndimoto,-iva,ibwe,idhuva,kitidhe,ikumi,-tatu,lumi,ijeɣo,mti,-iri,mkwedhu,mtaa,-tahika,-tonganamaghu,vita,madhi,ngungu,?,ime,kighera,,"collector: Gérard Philippson, Laboratoire Dynamique du Langage, Lyon"
G22B_South_Pare,ɲama,mkono,ivu,ikonde,kitanda,matumbo,?,ndeghe,-uma,sakame,ivindi,ivee,-ʃota,mwana,ijumbi,-za,-tara,-fwa,iguro,-ɲwa,isikio,-la,igi,nzovu,iziso,masinzi,-gwa,mafuta,ivoya,lukombe?(nkombe),moto,lukwi,nguluma,-sano,-pararika,ine,-ink(i)a/-inkija,mbuji,msau,lujwii,mtwi,-sikia,mo,luhembe,ɲumba,nza,itumbo,-koma,ikunguro,?,-maɲa,ijani,kughu,itima,nda,mume,mweji,momo,izina,?,singo,?,fua,-mwe,mntu,mvua(mbua),barabara,kikolo,muɲu,msangalale,-vona,-tuma,soni,-imba,mkota,wanga,-ʃinjia,moʃi,ɲoka,ichumo,-iva,ibwe,izuva,kitidhe(kitizie,ikumi,-tatu,lumi,ijeɣo,mti,-iri(-ri?),m-kwezu,mtaa,-tahika,-tonganamaghuu,nkondo,mazi,nkungu,?,kime,kighera,,"collector: Gérard Philippson, Laboratoire Dynamique du Langage, Lyon"
G23_Sambaa,zama,mkono,zelu,kanda ja mti,usazi,ifu,nkuu ,deghe,kuuma,mpombe,vuha,matombo,kuaka,ŋwana,zunde,kuiza,kutaa,kufa,kuli,kuɲwa,ʃikio,kuja,tagi,ntembo,ziʃo,cheni,kukina,mavuta,mayoya,ukombe,moto,nkuni,samaki,ʃano,kufena,ne,kuinka,mbuzi,ʃanga,sui,mtwi,kuiva,moyo,uveya,ɲumba,saa,ntʰumbo,kukoma,izwi,tuni,kuteiya,mani,muundi,ini,(ma)da,mghoʃi,ŋwezi,muomo ,zina,ukuvu,ʃingo,kilo,mpua,ŋwenga,mntu,fua,sia,(ma)zindo,muɲu,ɲanga,kuona,kutuma,ʃoni,kuimba,kanda,lwingu,usisiza,moʃi,ɲoka,guha,kubawa,iwe,zua,mkia,kumi,n_t_atu,ulimi,zino,mti,mbii,makozo,mzi,kutahika,kutamba,nkondo,mazi,mpʰeho,mvyee,mnyozu,kiama,,"Nurse D & Philippson G (1975) The “Tanzanian Language Survey” 1,000-word word list was used to elicit data for 100 Eastern Bantu languages. Those data are currently being made available through the Comparative Bantu Online Dictionary project (CBOLD project)."
G24_Bondei,ɲama,mkono,mazeu,gome,usazi,ifu,-kuu,mdege,ku-uma,mpome,vuha,matombo,ku-waka,mwana,zunde,kw-eza,ku-isabu,ku-fa,kui,ku-ɲwa,gutwi,ku-da,tagi,ntembo,ziso,cheni,ku-gwa,mavuta,mazoya,kombe,moto,nkuni,samaki,shano,ku-puuka,nne,ku-avya,mbuzi,uongo,uvii,mtwi,ku-sikia,moyo,hembe,ɲumba,saa,utumbo,ku-koma,vindi,tuni,ku-maɲa,zani,muundu,ini,daa,mgosi,mwezi,muomo,zina,ukuvu,singo,kio,mpua,mosi,mntu,fua,sia,zindo,muɲu,msanga,ku-ona,ku-tuma,soni,ku-imba,kanda,mbingu,usisiza,mosi,ɲoka,guha,ku-bawa,iwe,zua,mkia,kumi,ntatu,ulimi,zino,mti,mbii,makozo,mzi,ku-tahika,ku-enda,nkumbizi,mazi,mpeho,mvyee,mnyozu,chuma,,"Nurse D & Philippson G (1975) The “Tanzanian Language Survey” 1,000-word word list was used to elicit data for 100 Eastern Bantu languages. Those data are currently being made available through the Comparative Bantu Online Dictionary project (CBOLD project)."
G32_Doe,ɲama,mkono,ivu,gome,lili ou komʷa,nzinda,kulu,ndege,-luma,damu,vuha,matombo,kw-aka,mwana,wingu,kw-iza,ku-waza,ku-fa,mbwa,ku-ngwa,gutwi,ku-dʸa,yai,ndembo,ziso,uso,ku-gwa,mavuta,(ma)zoya,kombe,moto,nguvi,samaki,tano,ku-zumba,nne,ku-lava,mbuzi,ulongo,ɲele,mutwi,-tegeleza,moyo,hembe,ɲumba,nzala,utumbo,ku-koma,vindi,mwele,ku-vimaɲa,zani,mgulu,ini,ngina,mulume,mwezi,mlomo,zina,lukuvu,singo,ichilo,mbula,mosi,mund'u,mvula,nzila,maizi,muɲu,msanga,ku-ona,-tuma,kiɲala,kw-imba,ganda ,ulanga,ndongo,mosi,ɲoka,mkuki,ku-bawa,iwe,zua,mkila,kumi,tatu,ulimi,zino,mti,mbili,makojo,kaya,-deka,ku-tembea,vita,mazi,mbeho,mwanamke,ume,chuma,,"Nurse D & Philippson G (1975) The “Tanzanian Language Survey” 1,000-word word list was used to elicit data for 100 Eastern Bantu languages. Those data are currently being made available through the Comparative Bantu Online Dictionary project (CBOLD project)."
G31_Zigua,ɲama,mkono,maivu,gome,obulili,nda,nkulu,kadege,ku-luma,sakame,vuha,matombo,kw-aka,mwana,ingu,so,ku-waza,ku-banika,kuli,ku-vata,gutwi,ku-dʸa,(ma)tagi,ntembo,ziso,uso,ku-gwa,mavuta,mazoya,kombe,moto,nkuni,samaki,ʃano,ku-puluka,nne,inkiza,mbuzi,ulongo,fili,mtwi,kw-ina,moyo,hembe,ɲumba,sala,utumbo,ku-koma,vindi,ngola,ku-maɲa,zani,chiga,ini,njina,mnume,mwezi,mnomo,zina,lukuvu,singo,chilo,mpula,bosi,mntu,fula,sila,izi,muɲu,msanga,ku-ona,-igala,soni,ku-chema,makanka,maingu,ntongo,mosi,ɲoka,guha,ku-bawa,yuwe,zua,mchila,mlongo-umwenga,katatu,lulimi,zino,mti,mbili,makozo,kaya,ku-tahika,ku-tamba,nkondo,mazi,mpeho,mvyele,mnymzu,zuma,,"Nurse D & Philippson G (1975) The “Tanzanian Language Survey” 1,000-word word list was used to elicit data for 100 Eastern Bantu languages. Those data are currently being made available through the Comparative Bantu Online Dictionary project (CBOLD project)."
G32_Kwere,mɲama,mkono,ivu,gome,lili,inda,-khulu,chidege,ku-luma,damu,vuha,matombo,ku-lungula,mwana,wingu,izo,ku-peta,ku-fa,umbwa,kuŋwa,gutwi,ku-ja ~ ku-dʸa,finga,nhembo,ziso,sula,ku-gwa,mavuta,machipilo,ŋhombe,moto,ngodi,somba,tano,ku-guruka,nne,kuŋha,mbuzi,ulongo,ɲele,ditwi,ku-hulika,moyo,hembe,ɲumba,nzara,mitumbo,ku-koma,goŋho,mwele,ku-maɲa,yani,mgulu,ini,ngina,mulume,mwezi,mulomo,zina,chikuvu,singo,ichilo,mhula,imwe,munhu,mvula,nzila,mzizi,muɲu,msanga,ku-ona,ku-gala,chiɲara,kw-imba,kaŋha ,ulanga,nhongo,mosi,ɲoka,mkuki,kw-iba,dibwe,zua,mkila,kumi,nhatu,lulimi,zino,biki,mbili,makozo,kaya ~ kae,ku-deka,ku-ita mwanza,khondo,mazi,mbeho,mwanamke,nhungwe,zuma,,"Nurse D & Philippson G (1975) The “Tanzanian Language Survey” 1,000-word word list was used to elicit data for 100 Eastern Bantu languages. Those data are currently being made available through the Comparative Bantu Online Dictionary project (CBOLD project)."
G33_Zaramo,ɲama,mkono,tozi,kwame,ulili,hnumbo,nhulu,ɲuni,ku-luma,damu,mfupa,matombo,okwaka,mwana,wingu,-izo,ku-peta,ku-fa,dibwa,ku-ngwa,gutwi,ku-dʸa,finga,nhembo,siso,kihanga,ku-gwa,mavuta,majusi,nhombe,moto,ngodi,somba,hnano,ko-guluka,kane,ngwelela,mbuzi,ulongo,mvili,ditwi,ku-hulika,zoyo,mhembe,ŋanda,nzala,matumbo,ku-koma,vindi,mwele,ku-maɲa,tepo,mgulu,ini,mhani,mume,mwezi,mulomo,tagwa,kitovu,(singo) ,ikilo,mhula,imwe,muhnu,mvula,vinzila,mzizi,hyumvi?,misenga,-lola,-tuma,kiɲala,kw-imba,ganda ,mbingu,utulo,iyosi,zoka,mgoha,-bavi,jiwe,zua,mkila,kumi,ndatu,lulimi,tsino,biki,wa-bili,mkozo,kiisi,ku-deka,ko-choza,vita,manzhi,ubeho,mtwanzi,tungwe,zuhma?,,"Nurse D & Philippson G (1975) The “Tanzanian Language Survey” 1,000-word word list was used to elicit data for 100 Eastern Bantu languages. Those data are currently being made available through the Comparative Bantu Online Dictionary project (CBOLD project)."
G34_Nguungulu,ɲama,mkono,ma-ivu,gome,ulili,kundani,nkulu,kadege,ku-luma,sakame,vuha,matombo,ku-kweela,mwana,vunde,so,ku-hesabu,ku-banika,kuli,ɲwa,gutwi,ku-dʸa,(ma)tagi,ntembo,ziso,uso,ku-gwa,mavuta,mazoya,(ma)kombe,moto,nkuni,samaki,ʃano,ku-puluka,kane,kw-inkha,mbuzi,ulongo,lufili,mtwi,kw-iva,moyo,hembe,ɲumba,sala,misango,ku-koma,vindi,ngola,ku-maɲa,zani,kiga,ini,da,mgosi,mwezi,mnomo,zina,lukuvu,singo,kilo,mphula,bosi,mntu,fula,sila,izi,muɲu,msanga,ku-siɲa,-tuma,soni,kw-imba,nkhanda homme ,kulanga,ntongo,mosi,ɲoka,guha,ku-bawa,(ma)iwe,zuwa,mkila,kumi,ntatu,lulimi,ma-zino,mti,kaidi,makozo,kaya,ku-tahika,ku-tamba,nkhondo,mazi,mpeho,mvele,mnyuzu,chuma,,"Nurse D & Philippson G (1975) The “Tanzanian Language Survey” 1,000-word word list was used to elicit data for 100 Eastern Bantu languages. Those data are currently being made available through the Comparative Bantu Online Dictionary project (CBOLD project)."
G35_Luguru,(i)ɲama,moko,livu,lugube,lusazi,munda,kulu,chidege,ku-luma,mlapo,(chi)pate,tombo,-lakatza,mʷana,bingu,ku-za,ku-peta,ku-fwa,yumbwa,ku-nwa,gutwi,ku-ja,(li)yai,nembo,nenge,uhanga,ku-gwa,?,migala,numba,mwaki,ngodi,isamaki,?,ku-guluka,?,-ngaya,mene,lezi,ɲiri,(li)twi,ku-hulika,mtima,membe,ŋanda,nzala,utumbu,ku-lagha,fundo,mwere,ku-maɲa,luvulu,mgulu,kini,sawa,mlume,mlenge,(li)domo,tagwa,chikuvu,singo,chiro,mula,imwe,munu,mvula,nzila,luzizi,mkere,msanga,ku-lola,-hirika,chiɲala,?,ngotzi,kulangai,ku-wasa,yosi,nzoka,mgoha,-uhutzi,li(bwe),zua,mkira,?,?,ulurimi,?,biki,weli,mkotso,kaye,ku-deka,ku-gendela magulu,ŋondo,malenga,beho,pinga,tungwe,?,,"Nurse D & Philippson G (1975) The “Tanzanian Language Survey” 1,000-word word list was used to elicit data for 100 Eastern Bantu languages. Those data are currently being made available through the Comparative Bantu Online Dictionary project (CBOLD project)."
G36_Kami,mɲama,mkono,jivu,gome,upango,dida,kulu,ndege,ku-gedula,mlopa,zhege,matombo,ku-lukuzha,mwana,wingi ja mvula,kw-izha,ku-peta,ku-fa,dibwa,ku-ngwa,gutwi,ku-ja,finga,nhembo,siso,chihanga,ku-goa,mafuta,migala,lukombe,moto,ngodi,somba,tano,ku-zumha,nne,kw-iŋha,mhenhe,ulongo,umvili,ditwi,ku-hulika,moyo,hembe,ŋanda,nzala,misango,ku-mkomebazha,nudi,mwele,ku-maɲa,jani,mgulu,ini,mhani,mulume,mwezi,mlomo,zhina,chikuru,singo,ichilo,mhula,imwe,munhu,mvula,njila,mizhizhi,muɲu,msanga,ku-lola,ku-gala,chiɲala,kw-imba,ganda ,ulanga,nhongo,yosi,mgendela hasi,mukuki,ku-iba,dibwe,zhua,mkila,kumi,ndatu,ulimi,tsino,biki,bili,mkozho,cijiji,ku-deka,ku-gendela migulu,ŋhondo,mazhi,beho,mtwanzi,tungwe,chuma,,"Nurse D & Philippson G (1975) The “Tanzanian Language Survey” 1,000-word word list was used to elicit data for 100 Eastern Bantu languages. Those data are currently being made available through the Comparative Bantu Online Dictionary project (CBOLD project)."
G37_Kutu,ɲama,mkono,tozi,gome,cinanda,dide,kulu,?,ku-luma,damu,zege,matombo,-okwakwa,mwana,ulanga,-keza,-peta,ku-fa,dibwa,-iŋwa,bwiti,dia,mafinga,nembo,siso,kihanga,ku-gwa,mafuta,mitipilo,kombe,moto,ngodi,somba,tano,-guluka,nne,-gwelela,mbu(t)zi,dongo,luvili,ditwi,-hulika,moyo,pembe,ŋanda,nzala,utumbo,-koma,vindi,mwele,-maɲa,(t)zani,gondi,ini,mani,mulume,mbalamwezi,mulomo,twaga,chikuvu,singo,ichilo,mula,moja,munhu,mvula,nzila,zi(n)zi,ɲunvi,misanga,ko-lola,-tuma,chiɲala,kw-imba,kapi ,ulanga,utolo,moshi,nzoka,mgoha,kw-iba,dibwe,zua,mkila,kumi,ndatu,lulimi,zino ~ tzino,mti,bili,mko(t)zo,kijiji,ku-deka,-genda,vita,ma(t)zi,beho,mtwanzi,tungwe,zuma,,"Nurse D & Philippson G (1975) The “Tanzanian Language Survey” 1,000-word word list was used to elicit data for 100 Eastern Bantu languages. Those data are currently being made available through the Comparative Bantu Online Dictionary project (CBOLD project)."
G39_Saghala,ɲamandu,mkónu,ivu,ikoko ,ulili,kifu,-ɓwaa,ɲoɲi,-lúma,biɣáti,iβindi,iβéle,iβéle,mwana,iβeŋgu,-ʤa,-twála,-fwa,ʧuʧu,-nwa,kisikilo,-lya,igi,nʤovu,izíso,uʃu,-bùduka,mavuta,ikuʃu,lwála,moto,lukuni,ikumba,-sano,-bùruka,ne,-háwa,mbuzi,uɗoŋgo,sisíri,ʧôŋgó,-sikíla,ŋgólo,lwembe,ɲumba,nʤála,utumbo,-uláɣa,ŋgokóro,ndaɣala,-máɲa,iɲasi,kiɣulu,itíma,índa,mlume,mwezi ,mlomu,izina,kiduo,?,kiro ,mbula,kiro,mndu,mvúla,ŋgila,mrigiŋga ,kiʃerere,msaŋga ,-óna,-túma,waya,-ímba,ŋgiŋgo,mluŋguni,hariŋa,mosi,ɲoka,mkuki,-íβa,iwe ,iʤua ,mkoba ,ikumi,-tatu,lúmi ,iʤeɣo ,mwiti ,-ili,koʤele makoʤo,muzi ,-kwéza,-séla,uta,meʤi,mbeo,muke ,manena,kizia,,"Nurse D & Philippson G (1975) The “Tanzanian Language Survey” 1,000-word word list was used to elicit data for 100 Eastern Bantu languages. Those data are currently being made available through the Comparative Bantu Online Dictionary project (CBOLD project)."
G401_Mwani,ɲamaŋgalo,ŋkono,rivu,papatu,kinanda,tumbo,kulu,ɲuni,luma,damu,koŋgolo,were,luŋgula,mwana,wiŋgu,ɟa,walaŋga,fwa,ímbwa,ɲwa,sikíro,rya,ri(h)i,nembo,riso,uso,gwa,mafuta,bululu,lukombe,moto,lukuni,inswi,tano,iruka,ne,pa,mbuzi,nsaŋga,ɲwíri,kiswa,sikira,moyo,luɲaŋga,ɲumba,nʤala,utumbo,ulaya,lundi,kifyu,iʤiwa,samba,mulu,rini,sawa,nlume,mwezi,kaɲwa,zina,ntoku,siŋgo,?,mula,moɟa,munu,mvula,nʤira,nzizi,muɲu,nsaŋga,ona,tuma,aibu,imba,sambala,mbiŋgu,usiŋgizi,rosi,ɲoka,ŋkuki,iwa,riwe,ʤua,ŋkira,kumi,natu,lilmi,rino,muti,wiri,mikoʤo,?,tapika,enenda,vita,maɟi,mepo,muka,mande,ʧuma,,"collector: Gérard Philippson, Laboratoire Dynamique du Langage, Lyon"
G41_Bajuni,n̪ama,ŋkono,ivu,iganda,kiʧanda,iʧumbo,ku,n̪on̪i,uma,damu,mfupa,ivee,vaka,mwana,iviŋgu,ya,hesabu,fa,imbwa,n̪wa,iʃikio,la,iŋgi,nd̪ovu,yit̪o,vuso,aŋguka,mafuʧa,ubele,idoe,moʧo,kʰuni,isi,t̪ano,uka,nne,pa,mbuði,uvoŋgo,un̪ee,kit̪wa,sikia,moyo,ipembe,n̪umba,nd̪aa,uʧumbo,vua,igonʤo,kisu,iva,iyani,iguu,iŋgi,t̪ʰava,mvuli,mweði,kan̪a,ʒina,kikovu,mmio,?,pʰua,moya,nʧʰu,vua,nd̪ia,nði,mun̪u,nt̪aŋga,vona,ʧuma,aibu,imba,ŋgoði,mbiŋgu,usin̪diði,mosi,n̪oka,ifumo,ɟepa,iɟiwe,yuva,ŋkia,ikumi,ʧaʧu,ulimi,yeɲo,nʧi,vili,mane,?,ʧapika,enenda,ðiʧa,mayi,upepo,ŋke,umande,ʧuma,,"collector: Gérard Philippson, Laboratoire Dynamique du Langage, Lyon"
G412_Mwiini,hayawááni,mkóno,ívu,igáanda,cili,matúumbo,kul̪u,ɲúɲi,l̪uma,máazi,míʃpa,iwél̪e,aka,máana,iwíiŋgu,ya,wal̪aaŋga,fa,mbwá,na,iʃkíl̪o,ʤa,iyaaŋkʰúku,nd̪ovu,ít̪o,uso,turuka,máfta,lbáwa,iɲál̪a,múlo,skuɲi,nsi,t̪aano,ul̪úka,nne,pa,mbuzi,ul̪óoŋgo,iʃúŋgi,ʧit̪a,kasa,móoyo,lpéembe,n̪uumba,nd̪ál̪a,itúúmbo,uβla,igónʤo,ʧisu,iwa,ixárba,kuúl̪u,íɲi,nt̪ʰáwa,múβli,méezi,kána,ína,?,ʃíiŋgo,?,mpúl̪a,móoi,múuntʰu,ɱvúl̪a,nd̪íl̪a,hiinzízi,?,mt̪áaŋga,wóna,tuma,ebu,iimba,igózi,mbííŋgu,usiinzízi,móoʃi,n̪oka,ifúmo,bool̪a,iɟíwe,íwa,mkíl̪a,ikúmi,tatu,lími,yíino,múti,wíl̪i,man̪e,?,tapika,kuyenda pa miendo,zita,máai,l̪pépo,muke,umáánd̪e,ʧúúma,,"collector: Gérard Philippson, Laboratoire Dynamique du Langage, Lyon"
G42_Swahili,ɲama,kono,sizi,?,?,tumbo,kubwa,dege,uma,damu,fupa,ziwa,waka,mwana,wingu,ja,hesabu,fa,bwa,ɲwa,sikio,la,yai,dovu,jicho,so,anguka,futa,ɲoya,kucha,oto,kuni,samaki,tano,ruka,ne,pa,buzi,dongo,ywele,chwa,sikia,oyo,pembe,yumba,jaa,tumbo,ua,goti,su,jua,jani,guu,ini,chawa,wanamume,wezi,ɲwa,jina,tovu,ʃingo,siku,pua,moja,tu,vua,jia,zizi,muɲu,changa,ona,tuma,aibu,imba,gozi,"bingu
",singizi,oʃi,yoka,kuki,iba,jiwe,jua,kia,kumi,tatu,limi,jino,ti ,bili,kojo,jiji,tapika,tembea,ta,ji,pepo,wanamke,mande,chuma,,"collector: Gérard Philippson, Laboratoire Dynamique du Langage, Lyon"
G42a_Amu,ɲama,mkono,ivu,gome,kitanda,tumbo,kuu,ɲuni,uma,damu,mfupa,bubu,waka,mwana,uwiŋgu,ya,hesabu,fa,mbwa,nwa,ʃikio,la,yai,nd̪ovu,it̪o,uso,aŋguka,mafuta,ubele,uɲaa,moto,kʰuni,nsi,t̪ano,uka,nne,pa,mbuzi,uoŋgo,uɲee,kit̪wa,sikia,moyo,pʰembe,ɲumba,nd̪aa,utumbo,ua,ond̪o,kisu,yua,yani,guu,ini,t̪ʰawa,mvuli,mwezi,kanwa,ina,kitovu,ʃiŋgo,?,pʰua,moya,mtʰu,mvua,nd̪ia,mzi,muɲu,mt̪aŋga,ona,tuma,aibu,imba,ŋgozi,mbiŋgu,usin̪dizi,moʃi,ɲoka,fumo,iva,ɟiwe,yua,mkia,kumi,tatu,ulimi,ino,mti,ili,mkoyo,?,tapika,enenda,zita,mai,upepo,mke,umande,ʧuma,,"collector: Gérard Philippson, Laboratoire Dynamique du Langage, Lyon"
G42d_Unguja,mɲama,mkono,ɟivu,gome,kitanda,tumbo,kubwa,ndege,uma,damu,mfupa,ziwa,waka,mwana,wiŋgu,ɟa,hesabu,fa,mbwa,ɲwa,sikio,la,yai,ndovu,ɟiʧo,uso,aŋguka,mafuta,uɲoya,kuʧa,moto,kuni,samaki,tano,ruka,nne,pa,mbuzi,uɗoŋgo,ɲwele,kiʧwa,sikia,moyo,pembe,ɲumba,nʤaa,utumbo,ua,goti,kisu,ɟua,ɟani,mguu,ini,ʧawa,mwanamume,mwezi,kiɲwa,ɟina,kitovu,ʃiŋgo,?,pua,moɟa,mtu,mvua,nʤia,mzizi,ʧumvi,mʧaŋga,ona,tuma,aibu,imba,ŋgozi,mbiŋgu,usiŋgizi,moʃi,ɲoka,mkuki,iɓa,ɟiwe,ɟua,mkia,kumi,tatu,ulimi ,ɟino ,mti,wili,mkoɟo,?,tapika,tembea: enda,vita,maɟi,upepo,mwanamke,umande,ʧuma,,"collector: Gérard Philippson, Laboratoire Dynamique du Langage, Lyon"
G43_Kae,(m)ɲama,mkono,ipu,gome,kitʰanda,ndeu,kubwa,ndege,tafuna,damu,goŋgolo,ziwa,waka,mwana(kʰele),wiŋgu,ɟa,?,fwa,mbwa,ɲwa,ʃikio,lya,yai,tʰembo,diʧo,uso,gwa,mafuta,uɲoya,ukuʧe,moto,ukuni,swi,tano,ruka,ne,kʰa,mbuzi,uɗoŋgo,uɲwili,kiʧwa,sikia,moyo,pʰembe,ɲumba,nʤaa,uʧaŋgo,ula,futi,kisu,iɟua,ɟani,mgu(y)u,ini,ʧʰawa,mume,mwezi,kaɲwa,ɟina,kituŋgu,siŋgo,?,pʰua,moɟa,mtʰu,vua,nʤia,mzizi,ʧʰuvi,mʧaŋga,ona,tuma,haya,imba,ŋgozi,?,usiŋgizi,mosi,ɲoka,?,iɓa,ɓwe,ɟua,mkia,kumi,tatu,ulimi,ɟino,mɟiti,wili,?,?,tapika,tembea,vita,maɟi,upepo,mke,?,?,,"collector: Gérard Philippson, Laboratoire Dynamique du Langage, Lyon"
G44a_Ngazija,iɲama,mhóno,vú,gozi ,itʳánɗa,(m)mɓa,-kúu,nùni ,-kaza máɲo,damu,ʃíɓa,ɓéle,-βa,mwána,ɓiŋgu,-ʤa,-waza,-fa,mɓwá,-nwa,ʃiʃíyo,-la,ʤwaí,nd̪òvu,ʣíʦo,usó,-wa,mafúra,uβuzi,fuu,ḿ[d]ro,uhúni,nfí,-ʦánu,nʣì,-né,-níka,mɓúzi,ɗoŋgó,uɲíle,hiʦwá,-iʃia,mbumbu,ɲoŋga,ɲumɓá,nʣàa,tʳumɓo,-sòŋga,guŋgúno,ʃoònonɗe,-ʤua,wani,mnɗú,ɲe,nɗa,mume,mwézi ,haɲwa,ʣína,kovu,nʦiŋgo,masihu,mbùa,monʦi,m̀ndʳu,-ɲa,paré,mzi ,mɲo,mʦaŋga,-ona,-rúma,aiɓu,-heza,ŋgòzi,ɓiŋgu,-lála,ʤosi,ɲóha,fúmu,-hiɓa,ɓwè ,ʤua,mʃía,kume,-ráru,ulíme ,ʣíɲo ,m[d]rí,-ilí,koʤó ,m̀ʤi,-raβiha,-enɗa,kóɗo,máʤi,upépo,mndʳumamá ,mamo,ʃuma,,"collector: Gérard Philippson, Laboratoire Dynamique du Langage, Lyon"
G44b_Ndzwani,ʃiɲáma,mhóno,vú,gózi ,ʃitʳándʳa,mímba,-libwávu,ɲúɲi,-rema máɲo,dámu,múɓwa,ɓéle,-vùʣa,mwanaḿʦa,vìŋgu,-ʒá,-hasiɓu,-fa,mbwá,-nwa,kío,-la,ʒwaí,ndóvu,ʣíʦo,surwá,-ɗúmba,matʳá,púzi,kófu,móro,ŋkúni,fí,-ʦánu,nʣí,nné,-va,mbúzi,ɗoŋgó,ɲéle,ʃiʦwá,-kía,mó,ɲoŋgá,ɗágo,nʣá(ya),tʳímbo,-ua,guŋgúni,sembeá,-ʒua,(u)wáni,mundʳú,ɲé,ndʳá,mntʳuɓaɓá,mwézi ,háɲo,ʣína,tʳúntʳu,nʦíŋgo,ukú ,mpúa,-moʒá,múntʳu,vúa,paré,mwízi ,ʃíŋgo,mʦàŋga,-óna,?,háya,-héʣa,ŋgózi,wíŋgu,-lála,mósi,ɲóha,fúmo,-híɓa,ɓwé ,ʒúa,mʃía ,kúmi,-ráru,ulími ,ʣíɲo ,mwirí ,-ilí,koʒó ,múʒi,-ravíha,-ɗàga,ŋkóndʳo,máʒi,mpévo,mntʳumamá ,?,ʃúma ,,"collector: Gérard Philippson, Laboratoire Dynamique du Langage, Lyon"
G44D_Maore,ʃiɲáma,mhóno,vú,gwézi ,ʃitʳándʳa,mímba,-ɓóle,ɲúɲi,-rema máɲo,dámu,?,ɓéle,-βúʣa,mwanamʦá,βíŋgu,-ʒá,?,-fá,mbwá,-nwá,kío,-ɟá,ʒwaí,ndóvu,ʣíʦo,surá,-wá,mátʳa,púzi,kófu,móro,kúni,fí,ʦáno,nʣí,-nne,-βá,mbúzi,?,ɲéle,ʃiʦwá,?,mó,ɲoŋgá,ɗágo,nʣá,tʳúmbo,?,ɗóndʳo,sembeá,-ʒúa,uwáni,múndʳu,ɲé,ndʳá,mtʳuɓaɓá,mwézi,hàɲo,ʣína,tʳúʒu,ʦíŋgo,úku ,púa,moʒá,ḿtʳu,?,paré,mwízi,ʃíŋgo,mʦáŋga,-óna,-rúma,ʕãíɓu,-hímba,ŋgwézi,?,-lála,mwési,ɲóha,fúmo ,-híɓa,ɓwé,ʒúa,mʃía,?,-ráru,ulíme ,ʣíɲo ,mrí ,-ilí,koʒó,?,?,-raráya,kóndʳo,máʒi,péβo,mtʳumamá,mamío,ʃúma,,"collector: Gérard Philippson, Laboratoire Dynamique du Langage, Lyon"
G51_Pogoro,ɲama,liwoku,livu,ligomi,uliri,mtima,-nk,?,(ku)luma,mwazi,ʃfupa,maweri,kwaka,mwana,likusi,kwiza,(ku)walanga,(ku)sowa,ŋaŋa,(ku)landa,likutu,ku-lia,ligi,nt(h)embu,lisu,ʃeni,kugua,mafuta,mibahira,lukonji,motu,mbawu,somba,mhanu,-guluka,mʃeʃi,(ku)mpa,mbuzi,litapaka,viri,mtuyi,(ku)pikinira,moyu,linu,numba,njala,matumbu,kwiraga,linuŋunu,ʃimagi,(ku)vimana,luhamba,ligulu,?,moku,mpalu,lyezi,mlomu,litawu,ŋkufu,singu,paʃiru,mp(h)ula,yimu,muntu,mvula,kajira,liʃiɲʃi,muni,mhanga,(ku)wona,(ku)tuma,soni,(ku)yimba,lkuli ~ lukuli fruit,?,mp(h)ota,lyosi,njoka,mgoha,kwiwa,libuhi,mtʃenji,lʃira,kumi,nt(h)atu,llimi,linu ,mtera,mbiri,matundu,kaya,-tapika,ku-gendagenda,?,maʃi,lyega,mdala ,mangami,?,,"Nurse D & Philippson G (1975) The “Tanzanian Language Survey” 1,000-word word list was used to elicit data for 100 Eastern Bantu languages. Those data are currently being made available through the Comparative Bantu Online Dictionary project (CBOLD project)."
